@sitamtuyetdoi,"Lê Tuấn Khang đầu tư video chất lượng đó ,coi cũng ok nhưng coi thấy Tủn cùi bắp vẫn hay sáng tạo hơn nhỉ",127.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@tacongbang2000,Cái ghế dị đó ha,72800.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,NEU
@buivinhphuchotboykeokeo,"Anh là Anh ruột của em nè khang , Sư Phụ là Cha anh",1131.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,NEU
@user2860953727361,Chưa bao h thấy clip Lê Tuấn Khang hay,1653.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@ngoquangnhatlinh,Top sever + vote tại đây,526.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@banhuan2806,Khang hết bệnh. Sư phụ lộ mặt. Bà tám lộ thân phận. Em gái đi học đại học. Rồi mai mốt xem cái gì đây?,8598.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@loibelangson,tim cái 💰 vô như 💧,3712.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@ethan_kelly_thangucviet,😂😂😂 top 1 filmmaker thế giới,455.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@hocielts10.0,Rep để ba mẹ trúng số 🍀,11200.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@nmnguyn141209.ntn3,Lần đầu tiên thấy mặt ba của lê tuấn khang luôn á,102.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@calis.vth,ko rép xui cả ngày,1537.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,NEG
@duyentuixach431,"Mình thấy tủn cùi bắp hay hơn đầu tư kịch bản cũng khác lạ cong phu xem còn hiểu,của Tuấn khang quần riết mình bị loạn k hiểu nói về cái gì luôn nội dung sao giống nhau quá",11.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,NEG
@phat2k12ok14tuoi,tim để gia đình mạnh khỏe 🍀🍀,4501.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@capcup_pro2,Lê Tuấn Khang cở này bà Yang cở nào,34.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,NEG
@1.ngay.1.lon.bo.huc,Lê Tuấn Khang có tuyệt vời k ạ,32.0,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,POS
@riveraeras,WHY DID BRO EAT IT 😭😭😭,47400.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEG
@_callmekngann._,Ủa lau r ăn r kêu thúi ủa má?,23100.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEG
@little_diva32,I miss skibidi toilet at this point,32600.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEU
@patrick1428284,real or ai,729.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,POS
@.duc134,ăn chi r chửi nhỏ 😭🙏,4527.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,POS
@snowy54,Why did he eat it?😭,91.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEG
@n4ntekottai,i hate 2025🥀,99400.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,POS
@jasminexlovexxslay,I need to learn how to scroll😭,6079.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,POS
@_kingsman_jd,"Ballerina Capuccina kinda fine , yo🙂",2.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,POS
@vanhaaa_iuii,Bỏ chà bông để yêu trà bông à,273.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,POS
@user6932042588072,Why was his first instinct to put it in his mouth?,378.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEU
@sokvlxx,can the sun explode already 💔💔,43100.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEG
@zevaacakepp_,NGAPAIN LU COBAIN KOCAK 😭,21800.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEG
@gamer50976,We all need to owe an apology to Skibidi Toilet cuz what is ts 🥀,4256.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEG
@fan.de.kyojuro7,En mis tiempos era con gatitos,107200.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,POS
@pkhang2712,ổg tưởng đó là chocolate 🍫hả,5506.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEU
@shrimpo488,Ts Pmo so much🙁,2753.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEG
@baksongeunahhhhhhhh,Ngapain lu cobain😭,6836.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,NEG
@eduardo_13.011,Se enojaba pq no sabía bien,205000.0,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,POS
@boaz_katz,The water was so clean😭,809300.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,NEG
@_h34rtsformxtchaa_,Did the horse p00p???,304.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,NEU
@hattieu.netroi,Ai dám tắm nữa 😭,364.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,POS
@titi._vi,[sticker],102800.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,POS
@itur_monkey,Ruined the beautiful water😭,46100.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,NEG
@cheezechoclatemilk,[photo],25000.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,POS
@dipmaulank,Nó dính vào chân kìa😌,413.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,NEG
@grayzoo_931,Hên là đi chậm á đi nhanh nó lên tới trên đầu,5838.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,NEG
@mkedre00,Would been on the horse like 🧎🏽‍♂️,486300.0,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,NEU
