lsauthor,time_published,description,hashtags,music,engagement,video_url
"{'username': 'nhatduyy_2', 'nickname': '𝑵𝒉𝒂𝒕'}",,,['#chuyenchungminh'],"{'title': 'nhạc nền - 音乐🎧💤 - Anhhhhh🎧', 'link': '/music/nhạc-nền-音乐🎧💤-7488726815189863174'}","{'likes': '137.1K', 'comments': '5553', 'shares': '22.9K'}",https://www.tiktok.com/@nhatduyy_2/video/7532095738738691335
"{'username': 'ttinflyou', 'nickname': 'Chú Tín'}",,Em Tín,[],"{'title': 'nhạc nền  - Tường Duy', 'link': '/music/nhạc-nền-Tường-Duy-7525102598555650832'}","{'likes': '112.3K', 'comments': '1690', 'shares': '28.3K'}",https://www.tiktok.com/@ttinflyou/video/7533541363539873042
"{'username': 'tuanduowng', 'nickname': 'Trần Tuấn Dương'}",,Đại đại z đii cũng đc các mom ạ 😃,[],"{'title': 'nhạc nền  - Trần Tuấn Dương', 'link': '/music/nhạc-nền-Trần-Tuấn-Dương-7526530518377106192'}","{'likes': '371.6K', 'comments': '1523', 'shares': '12.2K'}",https://www.tiktok.com/@tuanduowng/video/7526530488727637255
"{'username': 'phamvusongthu', 'nickname': 'phamvusongthu'}",,"Hơi chạnh lòng 1 chút 😔 nhưng ko sao, dù sao thì 🥺",['@Tuấn Cao95'],"{'title': 'nhạc nền - 🥀 Song Thư 🥀 - 🥲 Song Thư bị chặn live 😭', 'link': '/music/nhạc-nền-🥀-Song-Thư-🥀-7466315116678564609'}","{'likes': '47.4K', 'comments': '691', 'shares': '246'}",https://www.tiktok.com/@phamvusongthu/video/7534235877854219536
"{'username': 'ac.phu_mun', 'nickname': 'Kít'}",,Hả,[],"{'title': 'nhạc nền - Mun - Kít', 'link': '/music/nhạc-nền-Mun-7515757799906265857'}","{'likes': '41.6K', 'comments': '388', 'shares': '2638'}",https://www.tiktok.com/@ac.phu_mun/video/7533512347982335240
"{'username': 'babykopohome', 'nickname': 'Babykopo home'}",,Nothing beats,['#babykopohome'],"{'title': 'nhạc nền  - Babykopo home', 'link': '/music/nhạc-nền-Babykopo-home-7527661323686202113'}","{'likes': '110.5K', 'comments': '531', 'shares': '2528'}",https://www.tiktok.com/@babykopohome/video/7527661280593710356
"{'username': 'nhaccover0102', 'nickname': 'ɴнạc covᴇʀ🎤'}",,Em bé còn nhỏ mà tinh tế quá…,"['#cover', '#ducthmusic', '#tamtrang', '#nhachaymoingay', '#muacuatroimay', '#xuhuong']","{'title': 'nhạc nền  - Vương Hồng Thuý', 'link': '/music/nhạc-nền-Vương-Hồng-Thuý-7484263549541747472'}","{'likes': '55.8K', 'comments': '499', 'shares': '2014'}",https://www.tiktok.com/@nhaccover0102/video/7533238506416524566
"{'username': 'ngocxinkk47', 'nickname': 'Hồng Ngọc ⭐️'}",,nhỏ kia fake‼️‼️‼️,[],"{'title': 'nhạc nền  - Hồng Ngọc ⭐️', 'link': '/music/nhạc-nền-Hồng-Ngọc-⭐️-7530478507520953089'}","{'likes': '184.3K', 'comments': '2113', 'shares': '7745'}",https://www.tiktok.com/@ngocxinkk47/video/7530478449773907218
"{'username': 'bchinhk.16', 'nickname': 'Băng Trinh 2k7'}",,Al dạo này lộng hành thật ghép cả nhảy =))),[],"{'title': 'nhạc nền  - Hânn🧸', 'link': '/music/nhạc-nền-Hânn🧸-7508583613147958033'}","{'likes': '74.3K', 'comments': '0', 'shares': '11K'}",https://www.tiktok.com/@bchinhk.16/video/7531611181648186642
"{'username': 'laman969696', 'nickname': '🌹Minh🌹🌹🌹Bụi🌹'}",,,"['#giaitrimoingay❤️❤️', '#xuhuongtiktok2025❤️❤️❤️🌈✔️']","{'title': 'nhạc nền  - Bùi Tiến Dũng 1971', 'link': '/music/nhạc-nền-Bùi-Tiến-Dũng-1971-7323320490649586433'}","{'likes': '23K', 'comments': '739', 'shares': '1966'}",https://www.tiktok.com/@laman969696/video/7530056876705336594
"{'username': 'changoc_210.3', 'nickname': 'Không biết nhảy'}",,“Tuyển xjnk” lớp tháng 8 tại Xuân Đỉnh 💃🏻🕺🏻,"['#changốcfeelbar', '#changốc', '#nhảyđichangốc']","{'title': 'nhạc nền  - Không biết nhảy', 'link': '/music/nhạc-nền-Không-biết-nhảy-7531398542129203985'}","{'likes': '227.2K', 'comments': '3506', 'shares': '10.7K'}",https://www.tiktok.com/@changoc_210.3/video/7531398487364177160
"{'username': 'quynhanh24250490', 'nickname': 'TRINH QUYNH DOLCOS'}",,Dú trend cùng tồng iuuuu🤭,[],"{'title': 'nhạc nền - TRINH QUYNH BEAUTIFUL - TRINH QUYNH DOLCOS', 'link': '/music/nhạc-nền-TRINH-QUYNH-BEAUTIFUL-7528035854780320528'}","{'likes': '105.5K', 'comments': '401', 'shares': '925'}",https://www.tiktok.com/@quynhanh24250490/video/7528035836617608455
"{'username': 'binhanndayne', 'nickname': 'Bình An🤍'}",,Rủ mãi chị mẹ mới chịu quay,"['@Hua Kieu Ngoc', '#binhan', '#fyp']","{'title': 'som original - GOIN Músicas em Alta', 'link': '/music/som-original-7510232687983774469'}","{'likes': '218.4K', 'comments': '1021', 'shares': '5948'}",https://www.tiktok.com/@binhanndayne/video/7533101695807589650
"{'username': 'thngan.do', 'nickname': 'Tội đồ của nước mắt'}",,Nũng nịu đẫm lệ,[],"{'title': 'original sound - oontzootnzlover', 'link': '/music/original-sound-7494180021804845855'}","{'likes': '98.6K', 'comments': '161', 'shares': '5135'}",https://www.tiktok.com/@thngan.do/video/7526170561974635783
"{'username': 'anhthoidai', 'nickname': 'Anh Thời Đại'}",,Trúc này xinh,"['#anhthoidaitv', '#anhthoidaivlog', '#xuhuongtiktok']","{'title': 'nhạc nền  - Anh Thời Đại', 'link': '/music/nhạc-nền-Anh-Thời-Đại-7531576379448609553'}","{'likes': '102.2K', 'comments': '1281', 'shares': '1241'}",https://www.tiktok.com/@anhthoidai/video/7531576356040117522
"{'username': 'dungtran.9999', 'nickname': 'Dung Trần 💜'}",,Embé iu ơi 🙆🏼‍♀️🤰,[],"{'title': 'original sound - erica', 'link': '/music/original-sound-6821739882541615877'}","{'likes': '20.7K', 'comments': '145', 'shares': '137'}",https://www.tiktok.com/@dungtran.9999/video/7532119576528588052
"{'username': 'chelya807', 'nickname': 'Gọi tớ là meo~💗'}",,Còn nua á dc: ai bit cha,"['#nhaycuonquadithoi🍀', '#nhaycuonquadithoi🍀', '#nhachaymoingay', '#nhaycuonquaaa', '#nhaytungbungvuibungno', '#nhacnaychillphet', '#nhachaymoingay']","{'title': 'som original - GOIN Músicas em Alta', 'link': '/music/som-original-7510232687983774469'}","{'likes': '147.4K', 'comments': '2274', 'shares': '4626'}",https://www.tiktok.com/@chelya807/video/7524521145576508680
"{'username': 'ac.phu_mun', 'nickname': 'Kít'}",,View đẹppp,[],"{'title': 'sonido original - 🐝~Max~🐝', 'link': '/music/sonido-original-7493287181583239941'}","{'likes': '68.7K', 'comments': '461', 'shares': '1616'}",https://www.tiktok.com/@ac.phu_mun/video/7533720948734741767
"{'username': '16_nbt', 'nickname': 'Em Trâm'}",,Mấy trò nào trễ tiết cô cho zô sổ đầu bài nha,[],"{'title': 'nhạc nền - 𝙝oang 𝙏uan👺 - 🄷oàng ｔ🀄', 'link': '/music/nhạc-nền-𝙝oang-𝙏uan👺-7491679209425799952'}","{'likes': '65.4K', 'comments': '1427', 'shares': '2861'}",https://www.tiktok.com/@16_nbt/video/7533250790421531922
