time_published,description,hashtags,video_url,username,nickname,music_title,music_link,likes,comments,shares,crawl_date
16-07-2025,Không thể nào rời mắt khỏi cổ,"['#huyenbaby', '#leeminho', '#giaitri', '#viral', '#be3thaido', '#xemphimtiktok']",https://www.tiktok.com/@be3thaido/video/7527479750416157959,be3thaido,Bé 3 Thái Đỏ,nhạc nền  - Bé 3 Thái Đỏ,/music/nhạc-nền-Bé-3-Thái-Đỏ-7527479798625618704,197400.0,1782.0,4707.0,2025-07-22
18-07-2025,Diễn viên Phúc An đến chia buồn tang lễ nghệ sĩ Công Tài,"['#cameravietnam', '#nghesicongtai', '#dienvienbuicongdanh', '#tanglenghesicongtai', '#dienvien']",https://www.tiktok.com/@cameravietnam1988/video/7528002243384118546,cameravietnam1988,Camera Việt Nam,Nhạc đồng quê yên bình - Mộc Gtar,/music/Nhạc-đồng-quê-yên-bình-7513825496535746561,84700.0,663.0,496.0,2025-07-22
18-07-2025,Phản ứng của Ngọc Trinh khi được hỏi về Ngân Collagen,"['#ngoctrinh', '#ngoctrinh89', '#TTSSummit', '#hongshowbizviet']",https://www.tiktok.com/@hongshowbizviet/video/7527925464921312519,hongshowbizviet,Hóng Showbiz Việt,original sound  - Hóng Showbiz Việt,/music/original-sound-Hóng-Showbiz-Việt-7527925487897774865,115000.0,1279.0,4206.0,2025-07-22
17-07-2025,Dự chiếc sound rặc miền tây này của mẹ Jack sẽ viral hơn cả drama :))),"['#odaycosao', '#mznetwork', '#mznews', '#tiktokgiaitri', '#tiktoknews', '#thienan', '#jack', '#j97']",https://www.tiktok.com/@odaycosaobymznews/video/7527571797617691920,odaycosaobymznews,Ở Đây Có Sao,nhạc nền  - Ở Đây Có Sao,/music/nhạc-nền-Ở-Đây-Có-Sao-7527571882989275921,163500.0,4936.0,42200.0,2025-07-22
17-07-2025,Jack J97 sau khi kết thúc họp báo,"['#8sieucap', '#j97', '#jack', '#jack97', '#hopbao']",https://www.tiktok.com/@8sieucap/video/7527541072713616647,8sieucap,8sieucap,Thiên Lý Ơi - Jack-J97,/music/Thiên-Lý-Ơi-7307241207780247553,161100.0,4758.0,30500.0,2025-07-22
17-07-2025,Midu ngập tràn hạnh phúc bên chồng tổng tài luôn 😍,"['#1314film', '#mentertainment', '#midu', '#doiemongaycu', '#TikTokMiniSeries', '#TikTokGiaiTri']",https://www.tiktok.com/@.vnlifestyle/video/7527652347665812754,.vnlifestyle,Lifestyle,nhạc nền - R i n g R i n g - 𝐑 𝐈 𝐍 𝐆 𝐑 𝐈 𝐍 𝐆,/music/nhạc-nền-R-i-n-g-R-i-n-g-7462692664463477505,114900.0,915.0,2510.0,2025-07-22
13-07-2025,Mẹ của Ngọc Thanh Tâm đến chúc mừng vợ chồng Đạt G rồi vội vã ra về ❤️❤️,"['#NgocThanhTam', '#DatG', '#CindyLu', '#damcuoidatgcindylu', '#showbiznhatbao', '#nhatbaotv', '#xuhuongtiktok', '#TikTokGiaiTri']",https://www.tiktok.com/@showbiznhatbao/video/7526554367042784528,showbiznhatbao,SHOWBIZ NHẬT BÁO,Rồi Xong Lên Xe Bông - Quách Tuấn Du,/music/Rồi-Xong-Lên-Xe-Bông-7098594942397728769,220800.0,843.0,2587.0,2025-07-22
17-07-2025,Mẹ Jack nhất quyết dành cho Thiên An một sự tử tế cuối cùng❤️‍🔥✨,"['#odaycotrend', '#mznews', '#mznetwork', '#jack', '#j97', '#thienan', '#2025moments', '#tiktokgiaitri', '#tiktoknews', '#trend', '#fyp']",https://www.tiktok.com/@odaycotrendbymznews/video/7527544826481364242,odaycotrendbymznews,Ở Đây Có Trend,Dưới Tán Cây Khô Hoa Nở (#1) - Jack - J97,/music/Dưới-Tán-Cây-Khô-Hoa-Nở-1-7446515167263623185,524800.0,12000.0,62500.0,2025-07-22
14-07-2025,Ai ròi cũng phải xài kem trộn mà thôi,"['#EmXinh', '#EmXinhSayHi', '#QuynhAnhShyn', '#VieON', '#VieChannel', '#BICHPHUONG', '#loithatlongkhisay']",https://www.tiktok.com/@quynhanhshyn_/video/7526866382546341141,quynhanhshyn_,Quynh Anh Shyn,"LỜI THẬT LÒNG KHI SAY - EM XINH ""SAY HI"" & Miu Lê & Bích Phương & Juky San & Quỳnh Anh Shyn",/music/LỜI-THẬT-LÒNG-KHI-SAY-7525661652215367697,331200.0,882.0,12500.0,2025-07-22
17-07-2025,Anh đánh đổi cả tương laii. .,"['#jack', '#j97', '#jackj97', '#phuongtuan', '#CongBangChoJack']",https://www.tiktok.com/@nlingphm/video/7527674586796788999,nlingphm,𝙣𝙡𝙞𝙣𝙜𝙥𝙝𝙢,nhạc nền  - Producer Kyanh 🎵,/music/nhạc-nền-Producer-Kyanh-🎵-7481852026863799056,379600.0,6116.0,87300.0,2025-07-22
17-07-2025,Đóm ơi lên đènn…,"['#jack', '#j97', '#bp_krick']",https://www.tiktok.com/@krick_drama_tiktok/video/7527626435213659399,krick_drama_tiktok,𝙆_𝙙𝙧𝙖𝙢𝙖,nhạc nền  - 𝙆_𝙙𝙧𝙖𝙢𝙖,/music/nhạc-nền-𝙆𝙙𝙧𝙖𝙢𝙖-7527626456831183632,365900.0,8104.0,85600.0,2025-07-22
14-07-2025,Bà xã Fabo Nguyễn có phản ứng tinh tế khi thấy anh bảo vệ phụ chồng mở cửa xe khi đi đám cưới Đạt G - Cindy Lư,"['#MeowEntertainment', '#Meownetwork', '#Saptinggg', '#Saptinshowbiz', '#Kindnmeow', '#Tiktokgiaitri']",https://www.tiktok.com/@meowentertainmentvn/video/7526807510834023700,meowentertainmentvn,MEOW ENTERTAINMENT,Bật Đèn Xanh - Vân Anh Pinky,/music/Bật-Đèn-Xanh-7441126118013192193,180000.0,668.0,3001.0,2025-07-22
16-07-2025,Jack J97 xuất hiện tại họp báo,"['#8sieucap', '#j97', '#jack', '#jack97', '#hopbao']",https://www.tiktok.com/@8sieucap/video/7527511299169717512,8sieucap,8sieucap,Lãng Tử Nhàn Thoại Remix 20205 - Thiên Tú Singer,/music/Lãng-Tử-Nhàn-Thoại-Remix-20205-7497449648362425105,116700.0,2592.0,33200.0,2025-07-22
18-07-2025,Diễn viên Minh Luân vào thấp hương chia buồn tang lễ nghệ sĩ Công Tài,"['#cameravietnam', '#nghesicongtai', '#dienvienbuicongdanh', '#tanglenghesicongtai', '#dienvien']",https://www.tiktok.com/@cameravietnam1988/video/7528074667853106452,cameravietnam1988,Camera Việt Nam,Nhạc đồng quê yên bình - Mộc Gtar,/music/Nhạc-đồng-quê-yên-bình-7513825496535746561,50400.0,1480.0,545.0,2025-07-22
19-07-2025,Mới sắm được em barbie này xịn ghê,"['#ngocchau', '#hoahaungocchau', '#tiktokgiaitri', '#xuhuongtiktok']",https://www.tiktok.com/@hoahau.ngocchau/video/7528393229859851538,hoahau.ngocchau,Ngọc Châu,sonido original - Alexa Beauty (en París)💋,/music/sonido-original-7257235636427393797,51800.0,1492.0,657.0,2025-07-22
14-07-2025,Đây là tôi khi được Idol của toai Lee Min Ho vẫy tay lại.🤭.Tôi giữ liêm si? lắm r đó…ko lúc ảnh xuống t cũng laoo za 😆,"['#huyenbaby', '#leeminho']",https://www.tiktok.com/@huyenbaby_official/video/7526788379892108562,huyenbaby_official,Huyền Baby,nhạc nền  - Huyền Baby,/music/nhạc-nền-Huyền-Baby-7526788502411954960,435800.0,3239.0,8642.0,2025-07-22
10-07-2025,"B RAY CHƠI LỚN : GỌI TÊN LOẠT NYC TRONG TRACK NHẠC ""THE ONE""","['#vbiznews', '#tintucshowbiz', '#tintucgiaitri', '#tngocha', '#onlive', '#bray']",https://www.tiktok.com/@vbiznews/video/7525352701639609618,vbiznews,Tin Tức Showbiz,Energy boost - Instrumental - Winner P336,/music/Energy-boost-Instrumental-7401165328607381520,349200.0,4358.0,53000.0,2025-07-22
12-07-2025,🙂,"['#j97', '#tiểubảo', '#jackj97', '#phuongtuan', '#domdom', '#j97entertainment']",https://www.tiktok.com/@tieubaodilac/video/7526085054200663303,tieubaodilac,Tiểu Bảo Đi Lạc,nhạc nền - Helios. - Nam Hải Dương,/music/nhạc-nền-Helios-7040976768085297921,284200.0,6290.0,169400.0,2025-07-22
18-07-2025,Thứ2 hôm nay phải khổ ròi 😆😆 chưa gem nào mà Híu k thua,"['#xuhuong', '#2ngay1dem', '#hieuthuhai', '#viral', '#fyp']",https://www.tiktok.com/@thzy.xinh/video/7528124343398829319,thzy.xinh,thzyxinh,nhạc nền - Phương Nguyễn Media - Phương Nguyễn Official,/music/nhạc-nền-Phương-Nguyễn-Media-7298318108857830145,98900.0,2006.0,36300.0,2025-07-22
19-07-2025,Thơ Nguyễn lên tiếng cực căng về Jack sau họp báo,"['#khaunghiep', '#dramin', '#thonguyen', '#jack']",https://www.tiktok.com/@dramin.vn/video/7528334932087819527,dramin.vn,DRAMIN,nhạc nền  - DRAMIN,/music/nhạc-nền-DRAMIN-7528334975935105808,82400.0,3774.0,10000.0,2025-07-22
19-07-2025,"Quá trình thay đổi nhan sắc lần 1 của Mỹ Duyên ""Mada""","['#nangmui', '#jtangelhospital', '#lotxac', '#cuocdoimoi']",https://www.tiktok.com/@trongthanhh.jt/video/7528356416315264264,trongthanhh.jt,Nguyễn Trọng Thành,nhạc nền  - Nguyễn Trọng Thành,/music/nhạc-nền-Nguyễn-Trọng-Thành-7528356509135260432,100800.0,1765.0,3340.0,2025-07-22
17-07-2025,Anh em sinh đôi của Miyazaki,"['#THUANBarber', '#THUANBarberShop']",https://www.tiktok.com/@ibcuathuan/video/7527658448163441928,ibcuathuan,THUAN,"My Heart Will Go On (Love Theme from ""Titanic"") - Céline Dion",/music/My-Heart-Will-Go-On-Love-Theme-from-Titanic-6610664419187755778,139000.0,1235.0,9289.0,2025-07-22
17-07-2025,Mát xa mặt ở Ấn Độ,"['#hoanganhpanda', '#tiktokgiaitri']",https://www.tiktok.com/@hoanganhpanda_/video/7527539570250976520,hoanganhpanda_,Hoàng Anh Panda,nhạc nền  - Hoàng Anh Panda,/music/nhạc-nền-Hoàng-Anh-Panda-7527539801109580561,612100.0,21500.0,229900.0,2025-07-22
15-07-2025,Búp bê,"['#makeupđẹpbìnhdương', '#xuhuong', '#xuhuong2025']",https://www.tiktok.com/@2018linhdan/video/7527104351001726229,2018linhdan,Trương Thị Thanh,nhạc nền  - Trương Thị Thanh,/music/nhạc-nền-Trương-Thị-Thanh-7527104483696970497,32600.0,476.0,1771.0,2025-07-22
18-07-2025,Dầu gội kiềm dầu nào ổn đây nhỉ,"['#goclamdep', '#xuhuong', '#xh', '#haircare', '#skincare', '#viral', '#j4f', '#beautytips', '#daugoikiemdau', '#daugoi', '#shampoo']",https://www.tiktok.com/@sinhvienhoathichhoc/video/7528006782048849170,sinhvienhoathichhoc,Huyền Trang,nhạc nền  - Huyền Trang,/music/nhạc-nền-Huyền-Trang-7528006797534251792,53500.0,347.0,1825.0,2025-07-22
20-07-2025,Hôm trước ai kêu,"['#dunnhair', '#dunnhairsalon', '#dabi', '#dabitodoroki', '#dophuocthinh']",https://www.tiktok.com/@dunnhairsalon.official/video/7528695862160002322,dunnhairsalon.official,DUNN HAIR SALON,nhạc nền  - Luân,/music/nhạc-nền-Luân-7507303636590922513,123600.0,287.0,3358.0,2025-07-22
19-07-2025,gội kiểu gì,[],https://www.tiktok.com/@vuhongnhung05/video/7528625860509748488,vuhongnhung05,𝑯'𝒏𝒖𝒏𝒈(𝑵𝒌𝒂𝒖𝒋 𝑺𝒖𝒂),nhạc nền  - 𝑯'𝒏𝒖𝒏𝒈(𝑵𝒌𝒂𝒖𝒋 𝑺𝒖𝒂),/music/nhạc-nền-𝑯'𝒏𝒖𝒏𝒈-𝑵𝒌𝒂𝒖𝒋-𝑺𝒖𝒂-7528625927501548289,47500.0,336.0,2307.0,2025-07-22
14-07-2025,Khóa học makeup cá nhân cho những bạn chưa biết gì về makeup,"['#CapCut', '#khoahocmakeupcanhancantho', '#makeupcanhan', '#makeupcantho', '#makeupchuyennghiep']",https://www.tiktok.com/@hathuymakeup95/video/7526776576470453512,hathuymakeup95,hathuymakeup,nhạc nền  - Lê Anh Thư🍀,/music/nhạc-nền-Lê-Anh-Thư🍀-7460060357969627905,233100.0,1712.0,5676.0,2025-07-22
04-07-2025,your sign to get,"['#microbangs', '#fyp']",https://www.tiktok.com/@dailywithbong/video/7523162526582836488,dailywithbong,Daily with Bông 🌸,original sound - Pro Mitch Music,/music/original-sound-6890277581002738438,291800.0,1683.0,51200.0,2025-07-22
18-07-2025,Búp bê xé túi 1 tí hôngggg 🤭,[],https://www.tiktok.com/@mhpchupanh/video/7527962942764092690,mhpchupanh,MHP Makeup,nhạc nền  - MHP Makeup,/music/nhạc-nền-MHP-Makeup-7527962963484592897,64400.00000000001,382.0,1265.0,2025-07-22
19-07-2025,Còn chưa tới 1 năm nữa..,"['#xuhuongtiktok', '#drhoanganhcaytoc', '#bacsihoanganh', '#caytoc', '#blackhair']",https://www.tiktok.com/@drhoanganhcaytoc/video/7528375655529008402,drhoanganhcaytoc,Bác Sĩ Hoàng Anh,original sound  - Bác Sĩ Hoàng Anh,/music/original-sound-Bác-Sĩ-Hoàng-Anh-7528375696679357185,42800.0,232.0,651.0,2025-07-22
20-07-2025,Mãi tỏa sáng e nhé ❤️💄,"['#fyp', '#makeup', '#vairal', '#bienhinh', '#xuhuong', '#đinhphatacademy']",https://www.tiktok.com/@dinhphatmakeup/video/7528735284540853522,dinhphatmakeup,Đinh Phát,nhạc nền  - 𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,/music/nhạc-nền-𝘼𝙧𝙞𝙨-𝙈𝙪𝙨𝙞𝙘-7521704617428749072,46800.0,529.0,766.0,2025-07-22
16-07-2025,mời mọi người ăn bánh với mình ạ,"['#huongthuf', '#maybellinepartner', '#teddytint', '#vtmgr']",https://www.tiktok.com/@huongthuf/video/7527311174434704647,huongthuf,Hương Thù,original sound  - Hương Thù,/music/original-sound-Hương-Thù-7527311262414408449,261000.0,1213.0,16400.0,2025-07-22
20-07-2025,"7749 câu truyện zhihu, audio trong đầu","['#makeup', '#bienhinh', '#bachnguyetquang']",https://www.tiktok.com/@aimigaus04/video/7528679876484812050,aimigaus04,Aimi mê làm đẹp🧸,nhạc nền - 𝐒𝐇.𝐘𓆝 - Tóc Nam Hoàng Vũ - Gò Vấp,/music/nhạc-nền-𝐒𝐇𝐘𓆝-7476873734473698064,167800.0,1289.0,6766.0,2025-07-22
18-07-2025,Lại nữa rồi 😆😆,"['#huynhbung', '#xuhuong', '#xuhuongtiktok', '#tocnamdep', '#tocdep', '#tocboypho', '#hoangem_vlog👑']",https://www.tiktok.com/@hoangvanhuynh94/video/7528238410469870866,hoangvanhuynh94,Huỳnh bung,nhạc nền  - Huỳnh bung,/music/nhạc-nền-Huỳnh-bung-7528238445320866577,43000.0,255.0,1811.0,2025-07-22
21-07-2025,nuôi tóc thì lâu chứ cắt thì 1 tiếng 30’ hoi. Trông ổn khum mí bà?🥺,"['#lifestyle', '#myhairstyle', '#duowngntt', '#shorthair', '#shorthairstyles']",https://www.tiktok.com/@duowngntt/video/7529149567716216071,duowngntt,duowngntt,whyisthisaudiofamous - @chrisgallagher,/music/whyisthisaudiofamous-6742199989981678342,4501.0,90.0,189.0,2025-07-22
15-07-2025,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,"['#mongoland', '#đàlạt']",https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam,nhạc nền  - paullummeme,/music/nhạc-nền-paullummeme-7389223069463612176,2500000.0,5547.0,75600.0,2025-07-22
18-07-2025,Xin lỗi được chưa?,['#tunvabong'],https://www.tiktok.com/@tunvabong/video/7528075024377449746,tunvabong,Tún và Bống đây!,nhạc nền  - Bin Yet quãi đạn 📸,/music/nhạc-nền-Bin-Yet-quãi-đạn-📸-7518000305552804625,602800.0,7519.0,190800.0,2025-07-22
